,nome,morada,país,localidade,codigo_postal,data_abertura,lat,lon
0,Honorato Clérigos,"Rua Cândido dos Reis, 12",Portugal,Porto,4050-151,2016-08-04,41.1473924,-8.6137725
1,Prégar,"Largo de São Domingos, 96",Portugal,Porto,4050-253,2016-07-30,41.1431111,-8.614765510487807
2,Nook Hamburgaria Pregaria,Rua São João Brito 32,Portugal,Porto,,2016-06-01,41.3428814,-8.5432602
3,Alta Burguesia,"Rua da Restauração, 1",Portugal,Porto,,2016-04-21,41.1945048,-8.5759202
4,De Gema,"Rua do Almada, 253 ",Portugal,Porto,4050-038,2016-03-21,41.155516,-8.6191649
5,A Burguesa,"Via do Castelo do Queijo, 395",Portugal,Porto,4100-429,2016-03-01,,
6,Tasquinha do Caco,"Rua Amândio Galhano, 51",Portugal,Porto,,2016-01-31,41.1829043,-8.5993444
7,Dona Maria Pregaria,"Rua de Ceuta, 63",Portugal,Porto,,2015-12-19,41.1483517,-8.6141162
8,Boulevard Burger House,"Rua Adolfo Casais Monteiro, 17",Portugal,Porto,,2015-11-30,41.1493674,-8.6229257
9,NY Sliders,"Praça do Bom Sucesso, 132",Portugal,Porto,,2015-07-02,41.1551629,-8.6289998
10,A Grande e à Francesa,"Praça de Parada Leitão, 65",Portugal,Porto,,2015-07-01,,
11,Ó Maria,"Rua da Conceição, 106",Portugal,Porto,,2015-06-19,41.1499998,-8.6146717
12,Prego da Baixa,"Praça Guilherme Gomes Fernandes, 39",Portugal,Porto,,2015-05-01,41.1473299,-8.6148959
13,Tasquinha do Caco,"Passeio de São Lázaro, 51",Portugal,Porto,,2015-01-31,41.1464627,-8.6021514
14,Munchie,Rua do Ateneu Comercial 8-14,Portugal,Porto,,2014-12-09,41.14830535,-8.60755299500439
15,Peebz,"Rua Senhora da Luz, 448",Portugal,Porto,4150-695,2014-12-01,41.1527511,-8.6781263
16,Black Mamba - Burgers & Records,Rua Martires da Liberdade 130 ,Portugal,Porto,4050-359,2014-11-29,41.1513262,-8.6138836
17,HD BAR TO BE WILD,"Rua das Galeria de Paris, 113",Portugal,Porto,4050-284,2014-11-11,41.1099157,-8.6139409
18,Zé do Prego,"Rua das Oliveiras, 118",Portugal,Porto,4050-448,2014-11-01,41.1127505,-8.3964044
19,Caffe.55,"Praça Dom Afonso V, 55",Portugal,Porto,,2014-11-01,41.1593238,-8.6653715
20,Hamburgueria do Mercado,Rua de Diu,Portugal,Porto,4150-235,2014-10-01,41.1711729,-8.550274
21,Quinhentos,"Avenida de Fernão de Magalhães, 500",Portugal,Porto,,2014-09-01,41.1777976,-8.5827625
22,Casa Vasco,"Rua do Padrão, 152",Portugal,Porto,,2014-05-08,41.14609075,-8.601548366719744
23,SINS Sandwich,"Rua da Conceição, 59",Portugal,Porto,,2014-05-01,41.1928757,-8.613317
24,Baixa Burger,"Rua da Picaria, 87",Portugal,Porto,,2014-03-01,41.148894,-8.6129889
25,Baixa Burger,"Rua Pedro Homem de Mello, 242",Portugal,Porto,,2014-03-01,,
26,Pão que ladra & Destilaria,"Rua de Cândido dos Reis, 126",Portugal,Porto,,2014-01-01,41.1307322,-8.610898
27,Real Hamburgaria Portuguesa,"Rua da Torrinha, 134",Portugal,Porto,4050-609,2013-11-01,41.1524145,-8.6192752
28,Nova Copa,"Avenida do Brasil, 829",Portugal,Porto,4150-154,2013-09-13,41.1539893,-8.6792051
29,Munchie,"Praça Dona Filipa de Lencastre, 183",Portugal,Porto,,2013-07-01,41.1482679,-8.6129898
30,Baixa Burger,"Rua da Picaria, 89",Portugal,Porto,4050,2013-07-01,41.148894,-8.6129889
31,Ideias com Sabor,"Rua Professor Mota Pinto, 12",Portugal,Porto,,2012-09-11,41.1668447,-8.6530871
32,Taste Burguer,"Rua Santa Catarina, 1433",Portugal,Porto,4000 - 458,2012-03-29,41.1601915,-8.6044449
33,Bugo Art Burger,"Rua de Miguel Bombarda, 598",Portugal,Porto,,2011-02-01,41.1501741,-8.616987
34,Lunatic Burguer,"Rua da Arroteia, 21",Portugal,Porto,4200-092,2009-11-27,41.1851523,-8.5969178
35,Steak 'n Shake,"Praça de Guilherme Gomes Fernandes, 67",Portugal,Porto,4050-159,2017-01-23,41.14762065,-8.614804740940226
36,Bao's Taiwanese Burguer,"Rua de Cedofeita, 263",Portugal,Porto,4050-109,2017-05-08,41.1548151,-8.6046934
37,Backson`s Fine Burgers and Mussels,"Rua de Miragaia, 54",Portugal,Porto,4050-386,2017-03-26,41.14581685,-8.614019899154705
38,Hard Rock Café,"Rua do Almada, 120",Portugal,Porto,4050-031,2016-11-20,41.1471894,-8.6120912
39,Porto Caco,"Rua de Santa Catarina, 591",Portugal,Porto,4000-453,2016-04-20,41.1509574,-8.6053649
40,Santo Burga Porto,"Rua Egas Moniz, 490",Portugal,Porto,4050-237,2017-03-31,41.1804876,-8.3216525
41,Hamburgaria da Praça,"Rua de Cedofeita, 382",Portugal,Porto,4050-123,2015-01-01,41.1462029,-8.606576739693143
42,Burguer Ranch,"Rua de Cedofeita, 50",Portugal,Porto,4050-157,2015-01-01,41.1441545,-8.6228811
